mirna	contrast	model	n_targets_total	n_targets_tested	n_targets_DE	n_targets_up	n_targets_down	fisher_odds_ratio	fisher_p_value	mean_target_logFC	median_target_logFC	inferred_activity	mirna_family	mirna_function	spaceflight_relevance	target_genes	de_target_genes	fisher_fdr
miR158	Organ_organ_simpleshoot	factorial	2	2	0	0	0	0.0	1.0	-0.132486897760461	-0.132486897760461	UNCHANGED	PPR (pentatricopeptide repeat)	RNA processing in organelles	Organelle function may be affected in microgravity	AT1G06580;AT1G62670		1.0
miR395	Organ_organ_simpleshoot	factorial	4	4	0	0	0	0.0	1.0	0.16248755720861227	0.105851362701281	UNCHANGED	APS1/APS3/APS4/SULTR2;1	Sulfate assimilation and transport	Nutrient metabolism may be altered in spaceflight	AT3G22890;AT5G67500;AT1G80840;AT3G22890		1.0
miR156	Organ_organ_simpleundifferentiated.cell.culture	factorial	8	8	0	0	0	0.0	1.0	-0.2989593681691076	-0.256286081867501	UNCHANGED	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550		1.0
miR159	Organ_organ_simpleundifferentiated.cell.culture	factorial	4	4	1	0	1	6.880102040816326	0.17253879519061743	-0.3801020035371142	-0.5739249763038244	UP (targets suppressed)	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400	AT1G66370	1.0
miR160	Organ_organ_simpleundifferentiated.cell.culture	factorial	3	3	0	0	0	0.0	1.0	-0.005771940336311233	-0.0100554922796252	UNCHANGED	ARF10/ARF16/ARF17	Auxin signaling, root cap formation, leaf development	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism	AT2G28350;AT4G30080;AT1G77850		1.0
miR164	Organ_organ_simpleundifferentiated.cell.culture	factorial	4	4	0	0	0	0.0	1.0	0.26327258316730195	0.020856424536797508	UNCHANGED	NAC1/CUC1/CUC2	Lateral root development, organ boundary formation	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots	AT1G56010;AT5G61430;AT5G07680;AT3G15170		1.0
miR165	Organ_organ_simpleundifferentiated.cell.culture	factorial	4	4	0	0	0	0.0	1.0	-0.18022782172382099	-0.044075046447177496	UNCHANGED	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development, meristem	Vascular patterning may be affected by altered auxin flow in microgravity	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR166	Organ_organ_simpleundifferentiated.cell.culture	factorial	4	4	0	0	0	0.0	1.0	-0.18022782172382099	-0.044075046447177496	UNCHANGED	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development	Same as miR165	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR167	Organ_organ_simpleundifferentiated.cell.culture	factorial	3	3	0	0	0	0.0	1.0	-0.4905916160856807	-0.212953003876809	UP (targets suppressed)	ARF6/ARF8	Auxin signaling, root development, flower development	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture	AT1G30330;AT2G33810;AT5G37020		1.0
miR169	Organ_organ_simpleundifferentiated.cell.culture	factorial	4	4	0	0	0	0.0	1.0	-0.47981049287947597	-0.653750799137546	UP (targets suppressed)	NF-YA (nuclear factor Y, subunit A)	Drought stress, ABA signaling, flowering	NF-YA regulates drought stress; spaceflight induces stress-like transcriptional responses	AT1G54160;AT5G12840;AT3G05690;AT3G20910		1.0
miR171	Organ_organ_simpleundifferentiated.cell.culture	factorial	4	4	1	1	0	6.880102040816326	0.17253879519061743	0.6286460174514685	0.30071762625751997	DOWN (targets de-repressed)	SCL6/SCL22/SCL27 (GRAS domain)	Meristem maintenance, leaf development	Meristem function is altered in microgravity	AT2G45160;AT3G60150;AT4G00150;AT1G69170	AT3G60150	1.0
miR172	Organ_organ_simpleundifferentiated.cell.culture	factorial	4	4	0	0	0	0.0	1.0	0.11201856194189075	0.04512280507861051	UNCHANGED	AP2/TOE1/TOE2/SMZ	Flowering time, floral identity	Flowering time is altered in spaceflight	AT2G28550;AT5G67030;AT4G36920;AT5G11560		1.0
miR319	Organ_organ_simpleundifferentiated.cell.culture	factorial	4	4	0	0	0	0.0	1.0	-0.0347214190032303	0.03412721101397039	UNCHANGED	TCP2/TCP3/TCP4/TCP10	Leaf development, jasmonate biosynthesis	TCPs regulate leaf morphology; spaceflight affects leaf development	AT1G53230;AT2G31070;AT3G15030;AT5G08310		1.0
miR393	Organ_organ_simpleundifferentiated.cell.culture	factorial	4	4	0	0	0	0.0	1.0	0.5348862942033514	0.396610107868941	DOWN (targets de-repressed)	TIR1/AFB2/AFB3 (auxin receptors)	Auxin perception, stress response	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity	AT3G62980;AT5G44750;AT5G64360;AT2G39360		1.0
miR396	Organ_organ_simpleundifferentiated.cell.culture	factorial	5	5	0	0	0	0.0	1.0	-0.015273544894112995	0.176024731582572	UNCHANGED	GRF1-7 (GROWTH REGULATING FACTOR)	Leaf growth, root development	GRFs regulate organ growth; spaceflight alters growth patterns	AT2G36400;AT4G24150;AT5G53460;AT3G46980;AT5G07680		1.0
miR397	Organ_organ_simpleundifferentiated.cell.culture	factorial	3	3	0	0	0	0.0	1.0	-0.557562074926704	-0.456213755673118	UP (targets suppressed)	LAC2/LAC4/LAC17 (laccases)	Lignin biosynthesis, secondary cell wall	Cell wall remodeling occurs in microgravity; lignin deposition is altered	AT2G40370;AT2G46570;AT5G05990		1.0
miR398	Organ_organ_simpleundifferentiated.cell.culture	factorial	3	3	0	0	0	0.0	1.0	0.4810208334416583	0.702833173388185	DOWN (targets de-repressed)	CSD1/CSD2/CCS (Cu/Zn superoxide dismutases)	Oxidative stress response	Oxidative stress is a major spaceflight stress; miR398 downregulation would increase CSD levels	AT1G08830;AT2G28190;AT5G18100		1.0
miR408	Organ_organ_simpleundifferentiated.cell.culture	factorial	2	2	0	0	0	0.0	1.0	-0.22648880569879343	-0.22648880569879343	UNCHANGED	Plantacyanin, laccase	Copper homeostasis, cell wall	Cell wall remodeling in microgravity	AT2G44790;AT5G20230		1.0
miR157	Organ_organ_simpleundifferentiated.cell.culture	factorial	4	4	0	0	0	0.0	1.0	-0.1191161480872953	-0.14109166337521564	UNCHANGED	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing	Same as miR156	AT2G42200;AT5G43270;AT1G20980;AT2G33810		1.0
miR158	Organ_organ_simpleundifferentiated.cell.culture	factorial	2	2	0	0	0	0.0	1.0	-0.11692048830503504	-0.11692048830503504	UNCHANGED	PPR (pentatricopeptide repeat)	RNA processing in organelles	Organelle function may be affected in microgravity	AT1G06580;AT1G62670		1.0
miR395	Organ_organ_simpleundifferentiated.cell.culture	factorial	4	4	0	0	0	0.0	1.0	0.6093995771993034	0.867418128185171	DOWN (targets de-repressed)	APS1/APS3/APS4/SULTR2;1	Sulfate assimilation and transport	Nutrient metabolism may be altered in spaceflight	AT3G22890;AT5G67500;AT1G80840;AT3G22890		1.0
miR156	Organ_organ_simplewhole_seedling	factorial	8	8	0	0	0	0.0	1.0	-0.10834781339436966	-0.25610504749498475	UNCHANGED	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550		1.0
miR159	Organ_organ_simplewhole_seedling	factorial	4	4	0	0	0	0.0	1.0	-0.22932332420904278	-0.2574627229871055	UNCHANGED	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400		1.0
miR160	Organ_organ_simplewhole_seedling	factorial	3	3	0	0	0	0.0	1.0	0.112627928152715	0.102654185505775	UNCHANGED	ARF10/ARF16/ARF17	Auxin signaling, root cap formation, leaf development	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism	AT2G28350;AT4G30080;AT1G77850		1.0
miR164	Organ_organ_simplewhole_seedling	factorial	4	4	0	0	0	0.0	1.0	0.26093707275755923	0.1712813277328485	UNCHANGED	NAC1/CUC1/CUC2	Lateral root development, organ boundary formation	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots	AT1G56010;AT5G61430;AT5G07680;AT3G15170		1.0
miR165	Organ_organ_simplewhole_seedling	factorial	4	4	0	0	0	0.0	1.0	-0.17582002179593065	-0.1655412297047335	UNCHANGED	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development, meristem	Vascular patterning may be affected by altered auxin flow in microgravity	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR166	Organ_organ_simplewhole_seedling	factorial	4	4	0	0	0	0.0	1.0	-0.17582002179593065	-0.1655412297047335	UNCHANGED	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development	Same as miR165	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR167	Organ_organ_simplewhole_seedling	factorial	3	3	0	0	0	0.0	1.0	-0.3636364031415044	-0.519339356220279	UP (targets suppressed)	ARF6/ARF8	Auxin signaling, root development, flower development	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture	AT1G30330;AT2G33810;AT5G37020		1.0
miR169	Organ_organ_simplewhole_seedling	factorial	4	4	0	0	0	0.0	1.0	-0.26165580124805676	-0.311188277770514	UNCHANGED	NF-YA (nuclear factor Y, subunit A)	Drought stress, ABA signaling, flowering	NF-YA regulates drought stress; spaceflight induces stress-like transcriptional responses	AT1G54160;AT5G12840;AT3G05690;AT3G20910		1.0
miR171	Organ_organ_simplewhole_seedling	factorial	4	4	1	1	0	16.735077129443326	0.07599920772320909	0.6685489493572639	0.18522073403503458	DOWN (targets de-repressed)	SCL6/SCL22/SCL27 (GRAS domain)	Meristem maintenance, leaf development	Meristem function is altered in microgravity	AT2G45160;AT3G60150;AT4G00150;AT1G69170	AT3G60150	1.0
miR172	Organ_organ_simplewhole_seedling	factorial	4	4	0	0	0	0.0	1.0	0.12939557576917246	0.13338575048247603	UNCHANGED	AP2/TOE1/TOE2/SMZ	Flowering time, floral identity	Flowering time is altered in spaceflight	AT2G28550;AT5G67030;AT4G36920;AT5G11560		1.0
miR319	Organ_organ_simplewhole_seedling	factorial	4	4	0	0	0	0.0	1.0	0.21361301591512802	0.21223793747158365	UNCHANGED	TCP2/TCP3/TCP4/TCP10	Leaf development, jasmonate biosynthesis	TCPs regulate leaf morphology; spaceflight affects leaf development	AT1G53230;AT2G31070;AT3G15030;AT5G08310		1.0
miR393	Organ_organ_simplewhole_seedling	factorial	4	4	0	0	0	0.0	1.0	0.36014268268377	0.24438390049534897	DOWN (targets de-repressed)	TIR1/AFB2/AFB3 (auxin receptors)	Auxin perception, stress response	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity	AT3G62980;AT5G44750;AT5G64360;AT2G39360		1.0
miR396	Organ_organ_simplewhole_seedling	factorial	5	5	0	0	0	0.0	1.0	0.28370018138057945	0.345990439514248	UNCHANGED	GRF1-7 (GROWTH REGULATING FACTOR)	Leaf growth, root development	GRFs regulate organ growth; spaceflight alters growth patterns	AT2G36400;AT4G24150;AT5G53460;AT3G46980;AT5G07680		1.0
miR397	Organ_organ_simplewhole_seedling	factorial	3	3	0	0	0	0.0	1.0	-0.31427940978743846	-0.3261153284012	UP (targets suppressed)	LAC2/LAC4/LAC17 (laccases)	Lignin biosynthesis, secondary cell wall	Cell wall remodeling occurs in microgravity; lignin deposition is altered	AT2G40370;AT2G46570;AT5G05990		1.0
miR398	Organ_organ_simplewhole_seedling	factorial	3	3	0	0	0	0.0	1.0	0.017620244338604336	0.032243633053601	UNCHANGED	CSD1/CSD2/CCS (Cu/Zn superoxide dismutases)	Oxidative stress response	Oxidative stress is a major spaceflight stress; miR398 downregulation would increase CSD levels	AT1G08830;AT2G28190;AT5G18100		1.0
miR408	Organ_organ_simplewhole_seedling	factorial	2	2	0	0	0	0.0	1.0	-0.008914352393282032	-0.008914352393282032	UNCHANGED	Plantacyanin, laccase	Copper homeostasis, cell wall	Cell wall remodeling in microgravity	AT2G44790;AT5G20230		1.0
miR157	Organ_organ_simplewhole_seedling	factorial	4	4	0	0	0	0.0	1.0	-0.13424320238427861	-0.25610504749498475	UNCHANGED	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing	Same as miR156	AT2G42200;AT5G43270;AT1G20980;AT2G33810		1.0
miR158	Organ_organ_simplewhole_seedling	factorial	2	2	0	0	0	0.0	1.0	-0.009225072538897948	-0.009225072538897948	UNCHANGED	PPR (pentatricopeptide repeat)	RNA processing in organelles	Organelle function may be affected in microgravity	AT1G06580;AT1G62670		1.0
miR395	Organ_organ_simplewhole_seedling	factorial	4	4	0	0	0	0.0	1.0	0.2667296856001097	0.120733089767755	UNCHANGED	APS1/APS3/APS4/SULTR2;1	Sulfate assimilation and transport	Nutrient metabolism may be altered in spaceflight	AT3G22890;AT5G67500;AT1G80840;AT3G22890		1.0
miR156	Light_lightdark	factorial	8	8	2	2	0	2.0253058954393772	0.3154118258882779	0.42515487507195926	0.24477912310879618	DOWN (targets de-repressed)	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550	AT3G15270;AT2G42200	1.0
miR159	Light_lightdark	factorial	4	4	1	1	0	2.0250208507089242	0.45646129232258614	0.36129363244871443	0.08962020314766991	DOWN (targets de-repressed)	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400	AT2G42200	1.0
miR160	Light_lightdark	factorial	3	3	0	0	0	0.0	1.0	0.20913171541348116	0.170025754960184	UNCHANGED	ARF10/ARF16/ARF17	Auxin signaling, root cap formation, leaf development	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism	AT2G28350;AT4G30080;AT1G77850		1.0
miR164	Light_lightdark	factorial	4	4	0	0	0	0.0	1.0	0.5770908979538686	0.6109915800496575	DOWN (targets de-repressed)	NAC1/CUC1/CUC2	Lateral root development, organ boundary formation	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots	AT1G56010;AT5G61430;AT5G07680;AT3G15170		1.0
miR165	Light_lightdark	factorial	4	4	1	1	0	2.0250208507089242	0.45646129232258614	0.6880420217830492	0.515789772500638	DOWN (targets de-repressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development, meristem	Vascular patterning may be affected by altered auxin flow in microgravity	AT1G52150;AT1G30490;AT5G60690;AT5G65600	AT5G65600	1.0
miR166	Light_lightdark	factorial	4	4	1	1	0	2.0250208507089242	0.45646129232258614	0.6880420217830492	0.515789772500638	DOWN (targets de-repressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development	Same as miR165	AT1G52150;AT1G30490;AT5G60690;AT5G65600	AT5G65600	1.0
miR167	Light_lightdark	factorial	3	3	0	0	0	0.0	1.0	0.2973374177752793	0.738392505634368	UNCHANGED	ARF6/ARF8	Auxin signaling, root development, flower development	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture	AT1G30330;AT2G33810;AT5G37020		1.0
miR169	Light_lightdark	factorial	4	4	0	0	0	0.0	1.0	-0.010756666196549825	-0.08646513981629865	UNCHANGED	NF-YA (nuclear factor Y, subunit A)	Drought stress, ABA signaling, flowering	NF-YA regulates drought stress; spaceflight induces stress-like transcriptional responses	AT1G54160;AT5G12840;AT3G05690;AT3G20910		1.0
miR171	Light_lightdark	factorial	4	4	0	0	0	0.0	1.0	0.15273370939283798	0.2758760582952545	UNCHANGED	SCL6/SCL22/SCL27 (GRAS domain)	Meristem maintenance, leaf development	Meristem function is altered in microgravity	AT2G45160;AT3G60150;AT4G00150;AT1G69170		1.0
miR172	Light_lightdark	factorial	4	4	2	0	2	6.077030033370412	0.0984799139181682	-0.6972359900708309	-0.460304668196161	UP (targets suppressed)	AP2/TOE1/TOE2/SMZ	Flowering time, floral identity	Flowering time is altered in spaceflight	AT2G28550;AT5G67030;AT4G36920;AT5G11560	AT2G28550;AT5G67030	1.0
miR319	Light_lightdark	factorial	4	4	0	0	0	0.0	1.0	0.11495036474133809	0.1007403953157382	UNCHANGED	TCP2/TCP3/TCP4/TCP10	Leaf development, jasmonate biosynthesis	TCPs regulate leaf morphology; spaceflight affects leaf development	AT1G53230;AT2G31070;AT3G15030;AT5G08310		1.0
miR393	Light_lightdark	factorial	4	4	0	0	0	0.0	1.0	-0.04614745940942075	-0.09831525566739399	UNCHANGED	TIR1/AFB2/AFB3 (auxin receptors)	Auxin perception, stress response	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity	AT3G62980;AT5G44750;AT5G64360;AT2G39360		1.0
miR396	Light_lightdark	factorial	5	5	1	1	0	1.5186961356686128	0.5333072300892304	0.31851923732812193	0.293201881344211	DOWN (targets de-repressed)	GRF1-7 (GROWTH REGULATING FACTOR)	Leaf growth, root development	GRFs regulate organ growth; spaceflight alters growth patterns	AT2G36400;AT4G24150;AT5G53460;AT3G46980;AT5G07680	AT4G24150	1.0
miR397	Light_lightdark	factorial	3	3	1	1	0	3.037670280789547	0.3669659477214816	1.2672104351079458	0.369056971508842	DOWN (targets de-repressed)	LAC2/LAC4/LAC17 (laccases)	Lignin biosynthesis, secondary cell wall	Cell wall remodeling occurs in microgravity; lignin deposition is altered	AT2G40370;AT2G46570;AT5G05990	AT2G40370	1.0
miR398	Light_lightdark	factorial	3	3	0	0	0	0.0	1.0	-0.04452505061214152	-0.0517038449315416	UNCHANGED	CSD1/CSD2/CCS (Cu/Zn superoxide dismutases)	Oxidative stress response	Oxidative stress is a major spaceflight stress; miR398 downregulation would increase CSD levels	AT1G08830;AT2G28190;AT5G18100		1.0
miR408	Light_lightdark	factorial	2	2	2	1	1	inf	0.019977480009423957	-1.33972884630666	-1.33972884630666	UP (targets suppressed)	Plantacyanin, laccase	Copper homeostasis, cell wall	Cell wall remodeling in microgravity	AT2G44790;AT5G20230	AT5G20230;AT2G44790	1.0
miR157	Light_lightdark	factorial	4	4	1	1	0	2.0250208507089242	0.45646129232258614	0.2640663252451196	0.2791176492742552	UNCHANGED	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing	Same as miR156	AT2G42200;AT5G43270;AT1G20980;AT2G33810	AT2G42200	1.0
miR158	Light_lightdark	factorial	2	2	0	0	0	0.0	1.0	0.2777388740226613	0.2777388740226613	UNCHANGED	PPR (pentatricopeptide repeat)	RNA processing in organelles	Organelle function may be affected in microgravity	AT1G06580;AT1G62670		1.0
miR395	Light_lightdark	factorial	4	4	1	0	1	2.0250208507089242	0.45646129232258614	-0.8723738626267151	-0.0704031311294707	UP (targets suppressed)	APS1/APS3/APS4/SULTR2;1	Sulfate assimilation and transport	Nutrient metabolism may be altered in spaceflight	AT3G22890;AT5G67500;AT1G80840;AT3G22890	AT1G80840	1.0
miR156	Light_lightred_light	factorial	8	8	1	1	0	0.5474201074277033	0.8435535738204827	0.11938498176839146	-0.1829524795654915	UNCHANGED	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550	AT2G42200	1.0
miR159	Light_lightred_light	factorial	4	4	1	1	0	1.2775667806051398	0.6044344599874893	0.18589695840157316	-0.0608510977021482	UNCHANGED	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400	AT2G42200	1.0
miR160	Light_lightred_light	factorial	3	3	0	0	0	0.0	1.0	0.016690012209470657	-0.127670171605784	UNCHANGED	ARF10/ARF16/ARF17	Auxin signaling, root cap formation, leaf development	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism	AT2G28350;AT4G30080;AT1G77850		1.0
miR164	Light_lightred_light	factorial	4	4	0	0	0	0.0	1.0	0.48699230613226596	0.732749608765778	DOWN (targets de-repressed)	NAC1/CUC1/CUC2	Lateral root development, organ boundary formation	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots	AT1G56010;AT5G61430;AT5G07680;AT3G15170		1.0
miR165	Light_lightred_light	factorial	4	4	0	0	0	0.0	1.0	0.392567687125978	0.3165590420953975	DOWN (targets de-repressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development, meristem	Vascular patterning may be affected by altered auxin flow in microgravity	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR166	Light_lightred_light	factorial	4	4	0	0	0	0.0	1.0	0.392567687125978	0.3165590420953975	DOWN (targets de-repressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development	Same as miR165	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR167	Light_lightred_light	factorial	3	3	1	1	0	1.9164451196353969	0.5012068080405093	0.08847601690000732	0.468021137385812	UNCHANGED	ARF6/ARF8	Auxin signaling, root development, flower development	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture	AT1G30330;AT2G33810;AT5G37020	AT5G37020	1.0
miR169	Light_lightred_light	factorial	4	4	1	0	1	1.2775667806051398	0.6044344599874893	-0.22438424852333777	-0.055539326682755505	UNCHANGED	NF-YA (nuclear factor Y, subunit A)	Drought stress, ABA signaling, flowering	NF-YA regulates drought stress; spaceflight induces stress-like transcriptional responses	AT1G54160;AT5G12840;AT3G05690;AT3G20910	AT5G12840	1.0
miR171	Light_lightred_light	factorial	4	4	1	0	1	1.2775667806051398	0.6044344599874893	-0.4000499030925152	-0.074157191896045	UP (targets suppressed)	SCL6/SCL22/SCL27 (GRAS domain)	Meristem maintenance, leaf development	Meristem function is altered in microgravity	AT2G45160;AT3G60150;AT4G00150;AT1G69170	AT3G60150	1.0
miR172	Light_lightred_light	factorial	4	4	1	0	1	1.2775667806051398	0.6044344599874893	-0.5511379799748467	-0.3686408065657084	UP (targets suppressed)	AP2/TOE1/TOE2/SMZ	Flowering time, floral identity	Flowering time is altered in spaceflight	AT2G28550;AT5G67030;AT4G36920;AT5G11560	AT5G67030	1.0
miR319	Light_lightred_light	factorial	4	4	0	0	0	0.0	1.0	0.010859963536664385	0.1028388572806548	UNCHANGED	TCP2/TCP3/TCP4/TCP10	Leaf development, jasmonate biosynthesis	TCPs regulate leaf morphology; spaceflight affects leaf development	AT1G53230;AT2G31070;AT3G15030;AT5G08310		1.0
miR393	Light_lightred_light	factorial	4	4	0	0	0	0.0	1.0	-0.386477966150235	-0.3499896227208195	UP (targets suppressed)	TIR1/AFB2/AFB3 (auxin receptors)	Auxin perception, stress response	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity	AT3G62980;AT5G44750;AT5G64360;AT2G39360		1.0
miR396	Light_lightred_light	factorial	5	5	0	0	0	0.0	1.0	0.1730988525684302	0.320724342812629	UNCHANGED	GRF1-7 (GROWTH REGULATING FACTOR)	Leaf growth, root development	GRFs regulate organ growth; spaceflight alters growth patterns	AT2G36400;AT4G24150;AT5G53460;AT3G46980;AT5G07680		1.0
miR397	Light_lightred_light	factorial	3	3	1	1	0	1.9164451196353969	0.5012068080405093	2.4218327018390373	0.827986344814482	DOWN (targets de-repressed)	LAC2/LAC4/LAC17 (laccases)	Lignin biosynthesis, secondary cell wall	Cell wall remodeling occurs in microgravity; lignin deposition is altered	AT2G40370;AT2G46570;AT5G05990	AT2G40370	1.0
miR398	Light_lightred_light	factorial	3	3	0	0	0	0.0	1.0	0.23889378698265032	0.693163582069479	UNCHANGED	CSD1/CSD2/CCS (Cu/Zn superoxide dismutases)	Oxidative stress response	Oxidative stress is a major spaceflight stress; miR398 downregulation would increase CSD levels	AT1G08830;AT2G28190;AT5G18100		1.0
miR408	Light_lightred_light	factorial	2	2	2	1	1	inf	0.04281375121027938	-2.710998582963975	-2.710998582963975	UP (targets suppressed)	Plantacyanin, laccase	Copper homeostasis, cell wall	Cell wall remodeling in microgravity	AT2G44790;AT5G20230	AT5G20230;AT2G44790	1.0
miR157	Light_lightred_light	factorial	4	4	1	1	0	1.2775667806051398	0.6044344599874893	-0.07877068763810649	-0.255540303623188	UNCHANGED	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing	Same as miR156	AT2G42200;AT5G43270;AT1G20980;AT2G33810	AT2G42200	1.0
miR158	Light_lightred_light	factorial	2	2	0	0	0	0.0	1.0	0.10851353518556048	0.10851353518556048	UNCHANGED	PPR (pentatricopeptide repeat)	RNA processing in organelles	Organelle function may be affected in microgravity	AT1G06580;AT1G62670		1.0
miR395	Light_lightred_light	factorial	4	4	1	0	1	1.2775667806051398	0.6044344599874893	-0.7722784024495413	0.324066634883154	UP (targets suppressed)	APS1/APS3/APS4/SULTR2;1	Sulfate assimilation and transport	Nutrient metabolism may be altered in spaceflight	AT3G22890;AT5G67500;AT1G80840;AT3G22890	AT1G80840	1.0
miR156	Light_lightunspecified	factorial	8	8	1	0	1	1.5162026471930625	0.5135141643697592	-0.9933607632008505	-1.045758539362565	UP (targets suppressed)	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550	AT2G33810	1.0
miR159	Light_lightunspecified	factorial	4	4	0	0	0	0.0	1.0	-0.43035351190140225	-0.3453352661729965	UP (targets suppressed)	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400		1.0
miR160	Light_lightunspecified	factorial	3	3	0	0	0	0.0	1.0	-0.07193366458028559	-0.149757027602685	UNCHANGED	ARF10/ARF16/ARF17	Auxin signaling, root cap formation, leaf development	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism	AT2G28350;AT4G30080;AT1G77850		1.0
miR164	Light_lightunspecified	factorial	4	4	0	0	0	0.0	1.0	-0.06239019202251199	-0.27555822093554444	UNCHANGED	NAC1/CUC1/CUC2	Lateral root development, organ boundary formation	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots	AT1G56010;AT5G61430;AT5G07680;AT3G15170		1.0
miR165	Light_lightunspecified	factorial	4	4	0	0	0	0.0	1.0	-0.22615637582402495	-0.179669966388443	UNCHANGED	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development, meristem	Vascular patterning may be affected by altered auxin flow in microgravity	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR166	Light_lightunspecified	factorial	4	4	0	0	0	0.0	1.0	-0.22615637582402495	-0.179669966388443	UNCHANGED	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development	Same as miR165	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
